numerical_file_id,file_id,file_name,file_type
7294381919926765,AgACAgUAAxkBAAOZZUQRyzTniwnqAd1Nli54we1NMTcAAim5MRsR1iBWLYh6-bqp2JkBAAMCAAN5AAMzBA,Photo,Photo
2836573210839045,AgACAgUAAxkBAAOfZUQR6ZKpmD46DlIJ119dP_ctUBAAAim5MRsR1iBWLYh6-bqp2JkBAAMCAAN5AAMzBA,Photo,Photo
1867648307638190,BAACAgUAAxkBAAOjZUQSY6XbO1lkX5wo9k4Zrm7JQngAApoKAAKzMQhUWxzIbFdn_MczBA,24. Beta galactosidase or lactase atf.mp4,Video
9879203629230375,AgACAgUAAxkBAAOqZUQTJxHTcHkBDIkldPjEWPSslJcAAkO5MRsR1iBW3dZpQQ0S9owBAAMCAAN5AAMzBA,Photo,Photo
0873151718499444,AgACAgUAAxkBAAO2ZUQWxcWbgaKZr829orTQHNKu1IUAAim5MRsR1iBWLYh6-bqp2JkBAAMCAAN5AAMzBA,Photo,Photo
7798247340001285,BAACAgEAAxkBAAO6ZUQYi3HGOCtRbbX5FCr1dmohKpoAAp0CAALEGjhEfV931XM1qHYzBA,5. Autonomic Nervous System26. Cholinergic Drugs atf.mp4,Video
4211490412516547,BAACAgUAAxkBAAO7ZUQYi1f4HE-SNnXVDDOGO3oar8oAApoKAAKzMQhUWxzIbFdn_MczBA,24. Beta galactosidase or lactase atf.mp4,Video
3922138609188037,BAACAgEAAxkBAAPCZUQZuR7A9er5R9yeBOOwdgxjrvMAAp0CAALEGjhEfV931XM1qHYzBA,5. Autonomic Nervous System26. Cholinergic Drugs atf.mp4,Video
5890388935677675,BQACAgQAAxkBAAPLZUQoTZIjFwxnshbvV9QHR0M5RW0AAgwRAAJuMGBTIBhC2L9AnI0zBA,310_Neurovascular_Disorders_Vertebrobasilar_Stroke_Syn_@Vid4Med.mp4,Document
0515011769231553,AgACAgUAAxkBAAPTZUQpsRCE88oB5Hz82W1BOF7UAdoAAim5MRsR1iBWLYh6-bqp2JkBAAMCAAN5AAMzBA,Photo,Photo
2618541678797564,BQACAgQAAxkBAAPVZUQpxek5tB1rDQ47OTmOQRKfkL4AAgwRAAJuMGBTIBhC2L9AnI0zBA,310_Neurovascular_Disorders_Vertebrobasilar_Stroke_Syn_@Vid4Med.mp4,Document
6832075744604239,BQACAgUAAxkBAAPZZUQp6rNIFTBuFt68IxU7aRF0bmkAAmICAAI9sEhWy5WXDlqTR7UzBA,GetPharm - Pulmonology.rar,Document
5060652828250754,BAACAgUAAxkBAAPdZUSYGpZcTidxc4llicxOQ4btEVkAAqQMAALKCxFWksgyJtabNnAzBA,001 - General Topics - Confidentiality @Vid4Med.mp4,Video
3232475182995068,BAACAgUAAxkBAAPnZUSuWy9SJmmz3kUxXeF6LfcVAbAAAlULAAKeQRlW41I3itwWEvkzBA,001 - General Topics - Confidentiality @Vid4Med.mp4,Video
8337927041956089,BAACAgUAAxkBAAPoZUSuW3dcDQWEqLHt9kK0MAmSDyUAAloLAAKeQRlWRHOX2rj1C6wzBA,002 - General Topics - Decision-Making Capacity @Vid4Med.mp4,Video
8188297355025651,BAACAgUAAxkBAAPpZUSuWxXmJAF-MERsBmqFqh7nhpIAAl0LAAKeQRlWL41rmcvvBQMzBA,003 - General Topics - Delivering Bad News @Vid4Med.mp4,Video
1377819063702573,BAACAgUAAxkBAAPqZUSuW7nKo5cLgKV6vQk3C6_zAosAAl4LAAKeQRlW6XPxc7z7v3IzBA,004 - General Topics - Ethics Principles @Vid4Med.mp4,Video
1512682979678844,BAACAgUAAxkBAAPrZUSuW8FrYMZ3pmbTBGMMRskgPPAAAl8LAAKeQRlWxwY9vDZLRkkzBA,005 - General Topics - Informed Consent @Vid4Med.mp4,Video
6939906772468522,BAACAgUAAxkBAAPsZUSuWzlvFT-1k611swFN1I1L_hAAAmELAAKeQRlWzsMolBXgTvQzBA,006 - General Topics - Public Health @Vid4Med.mp4,Video
5477927991399501,BAACAgUAAxkBAAPtZUSuWyP8D__ub4f-frwidOnJsN4AAmILAAKeQRlWJbJ40p76AAEhMwQ,007 - General Topics - Quality @Vid4Med.mp4,Video
8169555325077792,BAACAgUAAxkBAAPuZUSuWwABR_mjJQTc_tdiR74rdAbBAAJjCwACnkEZVro6VLZ-X6C6MwQ,008 - General Topics - Safety @Vid4Med.mp4,Video
9479392911349518,BAACAgUAAxkBAAPvZUSuWwABfu-hDWvNIREJ3JNbzkrFAAJkCwACnkEZVmHbpwHpKQnNMwQ,009 - Arrhythmias - ACLS and Tachycardias @Vid4Med.mp4,Video
6996988706865294,BAACAgUAAxkBAAPwZUSuW3okLT0Lx7CHu8cpxvFfK68AAmULAAKeQRlWoZG_T2md6jszBA,010 - Arrhythmias - Atrial Fibrillation and Flutter @Vid4Med.mp4,Video
5957005654777237,BAACAgUAAxkBAAPxZUSuW-4vE9fYdeq-oA9fbnoxWr4AAmYLAAKeQRlWVluug61ZEnEzBA,011 - Arrhythmias - Bradycardia @Vid4Med.mp4,Video
5331900031896927,BAACAgUAAxkBAAPyZUSuWwktFK0MaJ-pWasdK8x497wAAmgLAAKeQRlWbOyzpHAbl5ozBA,012 - Arrhythmias - EKG Interpretation @Vid4Med.mp4,Video
0534420002000574,BAACAgUAAxkBAAPzZUSuW_09ltGwTMhVdFGa_MeiuWsAAmkLAAKeQRlWbtmbZk-nrkYzBA,013 - Cardiac Auscultation - Heart Murmurs @Vid4Med.mp4,Video
6517639675493402,BAACAgUAAxkBAAP0ZUSuW130ZBvWZK-jbIQwzT3HXsEAAmoLAAKeQRlWdYu5zLQU8lszBA,014 - Cardiac Auscultation - Heart Sounds @Vid4Med.mp4,Video
4075778120602856,BAACAgUAAxkBAAP1ZUSuW0_5qcU6cEU5yXY7hKttNBgAAmwLAAKeQRlWhIiqEEu9YG8zBA,015 - Heart Failure - Cardiomyopathy @Vid4Med.mp4,Video
6133677410744015,BAACAgUAAxkBAAP2ZUSuWw9cXvQf3JIRFLkuadJTO2AAAm4LAAKeQRlW1T4D14DAVGAzBA,016 - Heart Failure - Heart Failure I @Vid4Med.mp4,Video
1252998145299876,BAACAgUAAxkBAAP3ZUSuW_e4W4nV4u7GiTo0LiKNcx0AAm8LAAKeQRlWRdwGXaYi8bEzBA,017 - Heart Failure - Heart Failure II @Vid4Med.mp4,Video
1018912947712313,BAACAgUAAxkBAAP4ZUSuW1qfPM-WuEXQo_zIOqNe1NEAAnALAAKeQRlWASi0lwABrU4EMwQ,018_Ischemic_Heart_Disease_Coronary_Artery_Disease_@Vid4Med.mp4,Video
9520684429952769,BAACAgUAAxkBAAP5ZUSuW83vFPTaInceRWzsiWNdTmMAAnILAAKeQRlWZA6D2s8WZxUzBA,019 - Ischemic Heart Disease - STEMI @Vid4Med.mp4,Video
7062671189993803,BAACAgUAAxkBAAP6ZUSuW0osqQV7IY8ruWrXbFSrDxkAAnMLAAKeQRlWh7GluuJ0kM4zBA,020 - Other Topics - Aortic Disease @Vid4Med.mp4,Video
7373408135936170,BAACAgUAAxkBAAP7ZUSuW84wUGKlQXW_nVt02_CK7xYAAnYLAAKeQRlWHdwZMpNVp4szBA,021 - Other Topics - Hyperlipidemia @Vid4Med.mp4,Video
1846064492454242,BAACAgUAAxkBAAP8ZUSuW7zK_DirQc0yq-4UPHceN9QAAncLAAKeQRlW46qETPCOoNgzBA,022 - Other Topics - Hypertension @Vid4Med.mp4,Video
9355562970246701,BAACAgUAAxkBAAP9ZUSuW8nO1xfcSmWWOPE2FmW_s6UAAnoLAAKeQRlWlpy5u9sI1M4zBA,023 - Other Topics - Pericardial Disease @Vid4Med.mp4,Video
8086824131640410,BAACAgUAAxkBAAP-ZUSuW1UAAbFfvEttG1UGsY7psYk8AAJ8CwACnkEZVuajpXWE_nSLMwQ,024 - Other Topics - Peripheral Vascular Disease. @Vid4Med.mp4,Video
0725144166264174,BAACAgUAAxkBAAP_ZUSuWzC2TzVtkPcAAZOyFUYamfEzAAJ9CwACnkEZVm1yYkXxWaqdMwQ,025 - Other Topics - Valvular Heart Disease @Vid4Med.mp4,Video
7527285888974728,BAACAgUAAxkBAAIBAAFlRK5b9sL3MKr_ELk3qHUNO9GcrgACfgsAAp5BGVb2EiQYIrCUiDME,026Pharmacology - Cardiovascular Pharmacology I @Vid4Med.mp4,Video
9000483231345565,BAACAgUAAxkBAAIBAWVErlt9HlkF4tZkKXEakXQInYTPAAKBCwACnkEZVpI4qKF0ZcEoMwQ,027Pharmacology - Cardiovascular Pharmacology II @Vid4Med.mp4,Video
8829440119321183,BAACAgUAAxkBAAIBAmVErlsI8FyctqxHkJzdq3RXFPC-AAKCCwACnkEZViMEAhfnYrSNMwQ,028 - Emergencies - Burns  @Vid4Med.mp4,Video
6639953672222619,BAACAgUAAxkBAAIBA2VErlvN-JG5vDvyqtrU0Pi__TQNAAKDCwACnkEZVrfXSsMdaN-uMwQ,029 - Emergencies - Chest Pain and Dyspnea @Vid4Med.mp4,Video
7394594618867435,BAACAgUAAxkBAAIBBGVErlvtmXyTnS-1xGhts6n6d_b6AAKECwACnkEZVsZ55YGedyqaMwQ,030 - Emergencies - Common Emergencies @Vid4Med.mp4,Video
9630537341531739,BAACAgUAAxkBAAIBBWVErlvGJhEB-wL8TurNCBxxkBu4AAKFCwACnkEZVjUfrBgtQWnvMwQ,031 - Emergencies - Toxicology @Vid4Med.mp4,Video
4835489350802960,BAACAgUAAxkBAAIBBmVErltcNMVAcPDsQqvNAw2eZ0CLAAKICwACnkEZVhmkPaWRZjxAMwQ,032 - Trauma - Abdominal Trauma @Vid4Med.mp4,Video
1188437579771108,BAACAgUAAxkBAAIBB2VErlv1iPrpXxZenH9909txkKfMAAKNCwACnkEZVrtSNtIxaSXUMwQ,033 - Trauma - Chest Trauma @Vid4Med.mp4,Video
0217421834509851,BAACAgUAAxkBAAIBCGVErluQ6qFOxXKkWr2ZzPMfFtb_AAKOCwACnkEZVncSgkSrgOkOMwQ,034 - Trauma - Fractures @Vid4Med.mp4,Video
9045264524865496,BAACAgUAAxkBAAIBCWVErls52gZeXvQQiiUffYhJiU2KAAKQCwACnkEZVrhLKx1chhyjMwQ,035 - Trauma - Neck and Spinal Trauma @Vid4Med.mp4,Video
1527294754910976,BAACAgUAAxkBAAIBCmVErlvg_hSi9VPE3DpxH5vCDin6AAKRCwACnkEZVmya5df9WUr_MwQ,036 - Trauma - Pelvic Trauma @Vid4Med.mp4,Video
1178061084323535,BAACAgUAAxkBAAIBC2VErlvjBP8iS-tMXBjSFmABtMGxAAKSCwACnkEZVq6HPoCvE4Z0MwQ,037 - Trauma - Trauma Basics @Vid4Med.mp4,Video
